,Source,Target
1408,2207,390
1409,4503,9663
1410,3793,7588
1411,4503,7588
1412,2781,7588
1413,6624,7588
1414,8902,7588
1415,12,5512
1416,5529,5512
1417,5512,9219
1418,3127,7588
1419,9061,7588
1420,5512,395
1421,6823,7588
1422,4503,9663
1423,2781,7588
1424,6684,7588
1425,2254,5512
1426,6624,7588
1427,4293,7588
1428,5999,7588
1429,1281,1281
1430,1713,5512
1431,2192,7588
1432,7361,7588
1433,792,792
1434,3127,7588
1435,2207,390
1436,9351,5512
1437,9351,5512
1438,5512,6598
1439,2781,7588
1440,4961,7588
1441,2254,5512
1442,1849,5512
1443,1849,5512
1444,5512,1849
1445,3127,7588
1446,8339,5512
1447,1281,7588
1448,6143,5512
1449,5512,7044
1450,7044,5512
1451,8240,5512
1452,5512,7044
1453,5512,8240
1454,7044,5512
1455,1849,5512
1456,5512,1849
1457,5512,6598
1458,1849,5512
1459,6598,5512
1460,5442,7588
1461,1849,5512
1462,5512,1849
1463,5512,6598
1464,12,5512
1465,5512,9219
1466,4503,9663
1467,12,5512
1468,1849,5512
1469,4915,5512
1470,6582,5512
1471,4503,7588
1472,2781,7588
1473,2207,390
1474,8153,7588
1475,8317,5512
1476,5998,5512
1477,12,5512
1478,9600,7937
1479,2207,390
1480,8240,5512
1481,2207,390
1482,12,5512
1483,5775,7588
1484,1281,7588
1485,140,5512
1486,7116,7588
1487,9600,7937
1488,2207,390
1489,6559,5512
1490,2781,7588
1491,2207,390
1492,12,5512
1493,8863,5512
1494,9600,7937
1495,9219,5512
1496,12,5512
1497,2781,7588
1498,2207,390
1499,9219,5512
1500,4915,5512
1501,5132,5512
1502,6959,7588
1503,12,5512
1504,6624,7588
1505,6559,5512
1506,12,5512
1507,12,5512
1508,8740,7588
1509,5293,7588
1510,140,5512
1511,4961,7588
1512,7654,7588
1513,507,7588
1514,3103,7588
1515,5775,7588
1516,9219,5512
1517,8153,7588
1518,6720,7588
1519,641,7588
1520,5293,7588
1521,12,5512
1522,5293,7588
1523,2254,5512
1524,7290,7588
1525,6624,7588
1526,6559,5512
1527,12,5512
1528,2661,5512
1529,5512,5998
1530,1175,5512
1531,2254,5512
1532,5512,2254
1533,2254,5512
1534,2489,3184
1535,5293,7588
1536,5293,7588
1537,8863,5512
1538,12,5512
1539,8662,7588
1540,2695,5512
1541,4503,9663
1542,5529,5512
1543,1884,5512
1544,5293,7588
1545,5293,7588
1546,8902,7588
1547,2489,2489
1548,3127,7588
1549,8662,7588
1550,3127,7588
1551,9600,7588
1552,7361,7588
1553,8153,7588
1554,7116,7588
1555,8662,7588
1556,7840,7588
1557,5293,7588
1558,5293,7588
1559,2254,5512
1560,6696,7588
1561,5293,7588
1562,1494,7588
1563,1494,7588
1564,3839,5512
1565,5512,2254
1566,5512,1849
1567,2254,5512
1568,8153,7588
1569,2192,7588
1570,2781,7588
1571,8662,7588
1572,3878,7588
1573,1494,7588
1574,8863,5512
1575,8902,7588
1576,7361,7588
1577,2079,7588
1578,3127,7588
1579,5512,9219
1580,5293,7588
1581,9219,5512
1582,1494,7588
1583,1494,7588
1584,1494,7588
1585,5293,7588
1586,12,5512
1587,4503,9663
1588,5512,9219
1589,9219,5512
1590,6582,5512
1591,5293,7588
1592,5293,7588
1593,2254,5512
1594,5512,9219
1595,9219,5512
1596,2863,5512
1597,9219,5512
1598,12,5512
1599,9351,5512
1600,5512,9219
1601,5512,2863
1602,5512,9219
1603,5512,2254
1604,9219,5512
1605,5512,9219
1606,2254,5512
1607,9219,5512
1608,9219,5512
1609,9219,5512
1610,5512,9351
1611,9351,5512
1612,1281,7588
1613,5293,7588
1614,4503,7588
1615,3812,5512
1616,5512,7044
1617,6624,7588
1618,5512,5998
1619,5998,5512
1620,5999,7588
1621,5512,1175
1622,1175,5512
1623,6847,5512
1624,5512,6847
1625,4293,7588
1626,4503,7588
1627,8216,5512
1628,1281,7588
1629,5723,5723
1630,5512,7651
1631,4293,7588
1632,5512,1175
1633,1175,5512
1634,2781,7588
1635,9219,5512
1636,140,5512
1637,4503,9663
1638,9219,5512
1639,5512,395
1640,140,5512
1641,5512,9351
1642,5512,140
1643,6624,7588
1644,5512,395
1645,5512,9219
1646,2521,5512
1647,9219,5512
1648,1981,7588
1649,1849,5512
1650,7918,7588
1651,5999,7588
1652,6302,5512
1653,8761,7588
1654,2781,7588
1655,6302,5512
1656,3127,7588
1657,8761,7588
1658,9351,5512
1659,4293,7588
1660,5512,9351
1661,3879,7588
1662,8761,7588
1663,5512,8912
1664,5512,6582
1665,6582,5512
1666,5512,395
1667,12,5512
1668,1281,7588
1669,4503,7588
1670,7632,7632
1671,2489,2489
1672,8226,7588
1673,9716,7588
1674,2207,390
1675,7153,7588
1676,4503,9663
1677,5293,7588
1678,9666,7588
1679,2489,3184
1680,8089,7588
